Prefix,Sub-Function,Notes,Caveat
2400:d960:801::/52,Loopback,/56 per row of device type,
2400:d960:801:1000::/52,PtP/Interconnects,/56 per row of device type,
2400:d960:801:2000::/52,Per-Rack OOB Access for MGMT,"Sliced into /56 per L3 distribution box, /64 per rack-VLAN",
2400:d960:801:3000::/52,VPN/Employee Access directly via OOB-Edge,Sliced into /64 per VPN instance,
2400:d960:801:4000::/52,Cloud interconnect via VPN for MGMT services,Sliced into /64 per VPN instance,"Should be avoided if possible - Your cloud VMs should have native IPv6 and therefore, there's no need for VPN tunneling"
2400:d960:801:5000::/52,Reserved,Reserved,
2400:d960:801:6000::/52,Reserved,Reserved,
2400:d960:801:7000::/52,Reserved,Reserved,
2400:d960:801:8000::/52,Reserved,Reserved,
2400:d960:801:9000::/52,Reserved,Reserved,
2400:d960:801:a000::/52,Reserved,Reserved,
2400:d960:801:b000::/52,Reserved,Reserved,
2400:d960:801:c000::/52,Reserved,Reserved,
2400:d960:801:d000::/52,Reserved,Reserved,
2400:d960:801:e000::/52,Reserved,Reserved,
2400:d960:801:f000::/52,Reserved,Reserved,
